origen 2019-2020,TotalPctg,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.45557773448238,2.03196156006837,93.42361617441401,0,0,0,0,0,0,0,0,0,0
4t ESO,100,87.99031049318076,0,2.6797542296968246,60.97324030733905,0,23.794804506629994,0,0,0,0.5425114495148938,0,0,0
1r BATX,100,95.37598514626582,0,0,4.017619057024908,85.54921287060264,5.398305252138187,0.1461670650048393,0.06123214885337863,0.0019752306081735043,0.17579552412744187,0.019752306081735043,0.005925691824520513,0
2n BATX,100,22.99018488929468,0,0,0.002282583884957772,4.25245377767633,0.830860534124629,0.045651677699155443,16.683405615156357,0.07989043597352202,0.015978087194704404,0,1.0773795937000685,0.002282583884957772
1r CFPM,100,77.11331526743668,0,0,0.6103817516903891,0.10260727722381541,17.798416164592595,50.52750664316347,7.771843510747455,0.22626220105764422,0.07366676313504696,0,0.0026309558262516772,0
2n CFPM,100,64.0945962306792,0,0,0.14124863795956252,0.02421405222163929,3.018685176964365,23.939626296460712,36.09508051172364,0.7264215666491787,0.02421405222163929,0.004035675370273216,0.11703458573792325,0.004035675370273216
1r CFPS,100,86.47077211628633,0,0,0.018755861206627072,0.009377930603313536,0.315723663644889,0.08127539856205064,6.55204751484839,79.44982807127228,0,0.0031259768677711786,0.037511722413254144,0.0031259768677711786
2n CFPS,100,25.62701763099081,0,0,0.006208095356344674,0.003104047678172337,0.38490191209336977,0.09622547802334244,3.2095852992301963,21.833871368264216,0.003104047678172337,0,0.08070523963248076,0.009312143034517011
1r CFAM,100,88.11748998664886,0,0,0.801068090787717,1.602136181575434,2.67022696929239,0,0,0,12.683578104138851,69.826435246996,0.5340453938584779,0
2n CFAM,100,61.52694610778443,0,0,0.4491017964071856,0,1.4970059880239521,0.14970059880239522,2.694610778443114,0,1.347305389221557,19.311377245508982,33.23353293413174,2.844311377245509
1r CFAS,100,81.55784650630011,0,0,0,0,0.3436426116838488,0.057273768613974804,1.145475372279496,0.11454753722794961,0.11454753722794961,0.286368843069874,12.77205040091638,66.72394043528064
2n CFAS,100,43.55670103092784,0,0,0,0,0.2061855670103093,0,1.958762886597938,0.2061855670103093,0.051546391752577324,0.051546391752577324,3.865979381443299,37.21649484536083
Total,100,75.0815235532458,0.4365040646231429,20.614546369570018,13.004483153510776,11.614859625428158,7.634969624452443,6.493639879011344,5.762880721412835,8.411176558191128,0.17152042068721146,0.17203395488088574,0.27397049232523146,0.49093868915261724
